<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20010102,27.40,27.60,27.00,27.50,644299
20010103,27.10,27.70,26.90,27.70,1349502
20010104,28.50,28.80,28.10,28.20,2100767
20010105,28.10,28.30,27.50,27.50,1306733
20010108,27.00,27.00,26.50,26.60,1004275
20010109,27.10,27.20,26.50,27.00,1123313
20010110,26.60,27.00,26.40,26.50,1378400
20010111,26.20,26.50,25.80,26.00,1803668
20010112,26.30,27.10,26.30,26.70,1357971
20010115,26.70,27.00,26.20,26.50,1124851
20010116,26.00,26.80,25.70,25.70,2096473
20010117,25.30,25.60,24.00,24.60,2214533
20010118,24.40,24.90,24.10,24.50,2144533
20010119,25.00,25.60,24.70,25.60,2024562
20010122,25.40,25.70,25.00,25.20,1179325
20010123,24.60,25.00,24.60,24.80,936133
20010124,25.30,25.50,24.80,24.80,1226826
20010125,24.60,25.00,24.40,24.70,851766
20010126,24.40,24.90,24.40,24.80,777132
20010129,24.70,25.70,24.70,25.40,1426509
20010130,26.00,26.20,25.50,25.80,1940483
20010131,25.80,26.30,25.70,26.20,1038120
20010201,26.00,26.30,25.80,26.10,1157076
20010202,26.00,26.70,26.00,26.70,1285029
20010205,26.00,26.30,25.40,25.50,918862
20010206,25.30,26.20,24.70,25.70,1454311
20010207,25.20,25.50,24.90,25.30,1392692
20010208,25.30,26.00,25.20,25.70,1231130
20010209,25.60,25.90,25.00,25.00,653540
20010212,25.00,25.00,24.20,24.20,775167
20010213,24.70,25.40,24.70,25.10,1634088
20010214,24.50,24.80,24.10,24.40,1332106
20010215,25.10,26.00,24.40,26.00,1985887
20010216,25.60,25.70,24.60,24.90,1216678
20010219,24.80,25.30,24.70,25.20,778413
20010220,25.20,25.70,25.20,25.20,1009254
20010221,24.50,24.80,24.20,24.40,1338547
20010222,24.40,24.70,23.30,23.30,1807650
20010223,23.70,24.00,22.80,23.20,1257900
20010226,23.70,24.40,23.60,24.20,902796
20010227,24.00,24.30,22.00,23.20,2004654
20010228,22.80,24.00,22.60,23.50,1398166
20010301,23.00,23.20,22.50,22.60,767466
20010302,22.50,23.40,22.50,23.20,1040367
20010305,23.30,23.80,23.20,23.80,686310
20010306,23.90,24.40,23.80,24.10,1005431
20010307,23.70,24.40,23.60,24.30,864107
20010308,24.30,24.90,23.70,24.30,1422722
20010309,23.50,23.70,23.00,23.10,1172014
20010312,22.70,22.90,21.90,22.30,1310082
20010313,21.80,22.90,21.80,22.60,930268
20010314,22.70,22.80,21.20,22.00,1262511
20010315,22.30,23.00,21.90,23.00,1111711
20010316,22.50,22.80,22.30,22.40,578219
20010319,22.40,23.00,22.30,22.50,1286617
20010320,22.70,23.10,22.50,22.70,1734192
20010321,22.30,22.60,21.90,22.20,715095
20010322,22.10,22.40,21.60,22.10,1244122
20010323,22.40,22.50,21.60,21.60,994867
20010326,21.90,22.20,21.60,21.80,660117
20010327,21.40,21.70,21.30,21.40,701082
20010328,21.50,22.00,21.40,21.90,952212
20010329,21.50,21.70,21.40,21.50,465184
20010330,21.70,22.20,21.70,21.90,1041019
20010402,21.70,21.90,21.40,21.60,505728
20010403,21.20,21.20,20.70,20.70,873900
20010404,19.70,20.60,19.70,20.10,929749
20010405,20.50,21.00,20.10,21.00,1373583
20010406,21.10,21.60,20.80,20.90,1518480
20010409,20.70,21.10,20.40,21.10,1309266
20010410,21.10,22.00,21.00,21.70,1527009
20010411,21.80,22.30,21.80,22.00,1081493
20010412,21.90,22.20,21.70,21.80,464853
20010417,21.30,21.40,20.70,20.90,987268
20010418,21.50,22.10,21.50,22.10,960354
20010419,22.50,22.90,22.20,22.40,1603971
20010420,22.30,22.70,22.00,22.50,1008402
20010423,21.90,22.30,21.70,21.70,776742
20010424,22.10,22.30,21.20,21.30,1379936
20010425,21.20,21.40,21.00,21.20,751299
20010426,21.20,21.80,21.20,21.60,714539
20010427,21.50,22.00,21.50,21.80,945085
20010430,21.70,21.90,21.40,21.40,822272
20010502,21.20,21.90,21.20,21.70,965211
20010504,21.40,21.50,20.90,21.00,1074735
20010507,21.00,21.50,20.90,21.00,583641
20010508,20.70,21.10,20.60,20.90,910059
