<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20010509,20.60,20.60,20.30,20.40,799496
20010510,20.40,21.40,20.40,21.40,1299619
20010511,21.00,21.30,21.00,21.00,474108
20010514,20.60,21.10,20.60,21.00,570171
20010515,21.00,21.00,20.40,20.50,909958
20010516,20.20,20.40,20.10,20.20,573144
20010517,20.50,20.80,20.30,20.60,1470492
20010518,20.40,20.80,20.40,20.80,880058
20010521,20.80,21.30,20.80,21.30,1837908
20010522,21.40,21.70,21.30,21.30,1387845
20010523,21.20,21.70,21.20,21.40,1415306
20010524,21.40,21.50,20.90,21.10,1114325
20010525,21.10,21.30,20.80,20.80,576272
20010528,20.60,20.90,20.60,20.80,679440
20010529,20.70,20.80,20.40,20.50,1118945
20010530,20.30,20.50,20.20,20.50,755342
20010531,20.20,20.80,20.20,20.70,1009472
20010601,20.50,20.70,20.30,20.50,908094
20010604,20.50,20.50,20.20,20.20,546115
20010605,20.10,20.30,20.00,20.30,863535
20010606,20.20,20.30,19.70,19.70,2214913
20010607,19.30,19.65,19.25,19.35,1321584
20010608,19.40,19.60,18.95,18.95,1279953
20010611,18.50,18.70,18.35,18.45,1632433
20010612,18.30,18.75,18.30,18.40,1635664
20010613,18.70,18.80,18.55,18.75,1163679
20010615,18.45,18.50,17.95,18.00,1080363
20010618,17.95,18.10,17.55,17.75,1217908
20010619,17.60,17.70,17.25,17.50,1161686
20010620,17.05,17.25,16.80,16.85,1339344
20010621,16.90,17.60,16.90,17.60,1110667
20010622,17.55,18.05,17.50,18.05,1316906
20010625,17.75,18.25,17.75,18.20,369686
20010626,18.15,18.15,17.50,17.70,669874
20010627,17.85,18.35,17.50,17.75,1912120
20010628,17.45,18.00,17.40,17.80,525718
20010629,17.95,18.20,17.55,17.80,798352
20010702,17.45,17.55,16.90,17.20,1349131
20010703,16.65,17.10,16.65,16.75,616884
20010704,16.80,16.95,16.20,16.30,1462038
20010705,16.05,16.40,15.65,15.80,1854554
20010706,15.70,16.60,15.70,16.40,2418231
20010709,16.40,16.45,15.90,16.35,1391167
20010710,16.25,16.25,15.75,16.00,1384274
20010711,15.55,16.05,15.50,16.00,1855724
20010712,16.40,16.75,16.15,16.40,3280760
20010713,16.40,16.70,15.95,16.65,2480653
20010716,16.45,17.95,16.35,17.95,2463436
20010717,17.65,17.70,17.30,17.30,1062540
20010718,17.25,17.55,17.15,17.55,816452
20010719,17.30,17.75,17.20,17.75,1007423
20010720,17.50,17.65,16.90,16.90,672038
20010723,16.75,17.10,16.70,16.85,495033
20010724,16.50,16.65,15.90,16.05,1681248
20010725,16.20,16.35,15.85,16.00,1124320
20010726,16.05,16.40,16.05,16.30,866231
20010727,16.40,16.60,16.30,16.40,2150810
20010730,16.30,16.70,16.25,16.45,707515
20010731,16.10,16.30,15.90,15.90,2203263
20010801,15.85,15.85,15.20,15.65,2237419
20010802,15.65,15.80,14.95,15.10,1847062
20010803,14.70,14.70,14.00,14.25,2931304
20010806,14.20,14.60,14.15,14.20,1458062
20010807,14.10,14.40,13.80,14.35,1508058
20010808,14.20,14.20,13.75,13.90,842751
20010809,13.65,13.75,13.10,13.15,1158921
20010810,13.25,13.45,12.65,12.90,1150362
20010813,12.10,12.55,12.10,12.20,795121
20010814,12.25,13.75,12.25,13.15,1171011
20010816,12.70,12.80,12.25,12.35,667940
20010817,12.30,12.40,11.85,12.00,675066
20010820,12.10,12.50,11.95,12.40,818042
20010821,12.40,13.10,12.35,12.90,1086654
20010822,12.70,13.60,12.60,13.30,1419379
20010823,13.40,13.65,13.00,13.10,751450
20010824,13.20,13.65,13.20,13.65,928370
20010827,13.90,14.05,13.15,13.15,707210
20010828,13.00,13.20,12.80,12.85,724659
20010829,12.70,13.05,12.60,12.95,570946
20010830,13.15,13.15,12.90,13.05,1049252
20010831,12.90,13.00,12.65,12.95,933896
20010903,12.90,13.25,12.85,13.00,686604
20010904,13.30,13.35,12.85,12.95,733103
20010905,13.00,13.30,12.70,13.10,2031430
20010906,13.40,13.70,13.35,13.60,1735665
20010907,13.45,13.60,13.15,13.25,857788
20010910,13.00,13.10,12.60,12.70,1067285
20010911,12.90,12.90,11.90,12.00,1915445
20010912,11.80,11.90,10.90,11.55,2451367
20010913,11.50,11.75,11.35,11.60,916437
20010914,11.55,11.60,10.95,11.00,1009000
20010917,10.55,11.10,10.50,11.00,763987
20010918,11.15,11.30,10.95,11.15,663177
20010919,11.40,11.75,11.35,11.65,789913
20010920,11.45,11.55,11.15,11.35,949600
20010921,10.90,11.05,10.60,10.90,1860636
20010924,11.25,11.35,10.30,10.50,2121216
20010925,10.50,11.00,10.40,10.95,1168982
20010926,11.20,11.55,10.95,11.40,1727271
20010927,11.45,11.70,11.40,11.40,1193804
20010928,11.55,11.80,11.55,11.70,946487
20011001,11.50,11.65,11.20,11.35,1017843
20011002,11.35,11.35,11.00,11.10,959376
20011003,10.95,11.10,10.65,10.70,1675908
20011004,11.00,11.20,10.95,11.15,1086544
20011005,10.90,11.55,10.90,11.30,1101602
20011008,11.05,11.70,11.05,11.60,883035
20011009,11.80,12.65,11.75,12.60,2577018
20011010,12.80,13.45,12.65,13.40,2305292
20011011,13.85,14.75,13.25,13.90,4133410
20011012,13.90,14.30,13.70,14.30,3622900
20011015,13.90,13.90,13.35,13.35,1818343
20011016,13.75,14.10,13.65,14.05,3057388
20011017,14.70,14.85,13.90,14.00,3835494
20011018,13.60,13.80,13.40,13.60,2101707
20011019,13.70,13.85,13.30,13.40,1818861
20011022,13.50,13.95,13.45,13.95,1071883
20011023,14.40,14.45,13.90,14.00,1391933
20011024,14.05,14.45,14.05,14.45,885741
20011025,14.75,15.15,14.70,14.80,3542016
20011026,15.10,15.95,15.05,15.75,3031374
20011029,15.80,16.55,15.45,15.80,1719842
20011030,15.30,15.70,15.20,15.25,3395979
20011031,15.35,15.55,14.90,15.25,1945403
20011102,15.40,15.45,14.85,14.85,1221007
20011105,15.00,15.15,14.90,15.05,566614
20011106,15.20,15.35,14.75,14.95,1259005
20011107,14.60,14.80,14.55,14.70,664551
20011108,14.80,15.25,14.65,15.25,748347
20011109,15.15,15.45,15.05,15.05,1071896
20011112,15.20,15.50,14.30,15.05,1533886
20011113,15.25,15.75,15.15,15.75,1088626
20011114,16.00,16.85,15.95,16.70,2617761
20011115,16.80,17.05,16.55,16.60,1306862
20011116,16.65,17.40,16.65,17.35,1749272
20011119,17.40,17.80,16.60,17.25,1887007
20011120,17.00,17.15,16.75,16.90,872975
20011121,16.65,16.85,16.05,16.05,1935246
20011122,15.95,16.35,15.30,16.35,2223351
20011123,16.45,16.60,16.00,16.25,696762
20011126,16.30,16.70,16.15,16.45,673257
20011127,16.40,16.75,16.30,16.30,969644
20011128,16.40,16.50,15.90,16.15,1217761
20011129,16.15,16.15,15.65,15.65,1073698
20011130,15.50,15.70,14.95,15.00,1160737
20011203,14.80,14.80,14.20,14.40,3238108
20011204,14.55,15.15,14.50,15.15,1620761
20011205,15.55,15.65,14.90,15.45,2276190
20011206,15.90,16.10,15.70,15.80,1860803
20011207,15.60,15.95,15.45,15.75,992861
20011210,15.35,15.75,15.30,15.35,718822
20011211,15.15,15.55,14.75,15.50,2085685
20011212,15.40,15.45,15.25,15.45,401399
20011213,15.35,15.65,15.05,15.05,1576748
20011214,14.60,14.60,14.30,14.35,2626059
20011217,14.25,14.45,13.70,13.90,1532266
20011218,13.75,14.65,13.45,14.60,2851540
20011219,14.40,14.40,13.90,14.10,3250706
20011220,13.90,14.20,13.85,14.20,941244
20011221,14.00,14.35,13.85,14.10,1070161
20011227,14.30,14.35,13.90,13.90,360223
20011228,13.80,13.90,13.55,13.85,744311
20011231,13.80,14.00,13.80,14.00,308534
20020102,13.80,14.10,13.80,14.00,257744
20020103,14.10,15.50,14.10,15.50,1822993
20020104,16.00,16.85,16.00,16.50,2910230
20020107,16.45,17.10,16.15,16.85,1959512
20020108,16.50,16.95,16.45,16.85,1757970
20020109,16.70,18.10,16.65,17.85,3228883
20020110,17.60,18.70,17.25,17.25,2452958
20020111,17.30,17.85,17.20,17.35,2713248
20020114,17.00,17.10,16.55,16.60,1517827
20020115,16.40,16.90,16.15,16.75,2994967
20020116,16.70,17.25,16.60,17.05,1097211
20020117,17.55,17.75,17.30,17.55,1124524
20020118,17.50,17.65,17.10,17.20,707749
20020121,16.75,17.05,16.70,16.80,628970
20020122,16.80,17.75,16.80,17.70,1279780
20020123,17.65,17.85,17.25,17.30,1429524
20020124,17.30,17.70,17.15,17.50,1296045
20020125,17.45,17.70,17.20,17.40,1209673
20020128,17.35,17.40,16.35,16.35,2048627
20020129,16.40,16.65,16.15,16.30,1057344
20020130,16.05,16.10,15.60,15.95,2057845
20020131,16.20,16.25,15.90,16.10,1119432
20020201,16.20,16.35,15.55,15.70,1207877
20020204,15.40,15.70,15.25,15.45,1242096
20020205,15.20,15.20,14.90,15.00,1870118
20020206,15.15,15.20,14.65,15.10,3506866
20020207,14.90,15.50,14.70,15.35,1899157
20020208,15.25,15.55,15.25,15.45,1381470
20020211,15.60,15.65,14.80,15.05,1744468
20020212,15.15,15.45,14.90,15.00,2557674
20020213,15.00,15.15,14.75,15.10,943447
20020214,15.25,15.60,15.15,15.40,2831277
20020215,15.25,16.45,15.25,15.30,2506864
20020218,15.30,15.40,15.25,15.30,576120
20020219,15.15,15.20,14.85,14.90,1271932
20020220,14.90,14.90,14.50,14.80,2292562
20020221,15.10,15.20,14.30,14.55,1567911
20020222,14.30,14.65,14.25,14.35,963006
20020225,14.50,14.80,14.35,14.60,1055824
20020226,14.95,15.05,14.75,14.80,1806326
20020227,14.90,15.20,14.90,15.10,1507749
20020228,15.05,15.10,14.70,14.95,734582
20020301,14.75,15.05,14.55,15.05,1409925
20020304,15.40,15.45,15.10,15.15,1954117
20020305,15.20,15.35,14.85,14.95,1192080
20020306,14.90,14.95,14.75,14.90,648535
20020307,15.05,15.50,14.95,15.45,2345387
20020308,15.45,15.60,15.20,15.35,1636516
20020311,15.25,15.35,15.20,15.20,569234
20020312,15.05,15.15,14.80,14.85,985198
20020313,14.80,15.25,14.75,15.10,854775
20020314,15.10,15.25,14.95,15.15,571085
20020315,15.00,15.10,14.90,15.05,732163
20020318,14.95,14.95,14.30,14.40,2037991
20020319,14.20,14.40,13.75,13.75,2761990
20020320,13.75,13.75,13.40,13.65,2120019
20020321,13.55,13.95,13.55,13.70,1240762
20020322,13.90,14.05,13.80,13.90,869659
20020325,14.00,14.10,13.20,13.20,1202244
20020326,13.00,13.10,12.70,13.00,2759895
20020327,13.05,13.40,13.05,13.40,1947046
20020328,13.45,13.55,13.20,13.30,1220482
20020402,13.35,13.35,12.90,12.90,523177
20020403,12.85,13.00,12.50,12.70,1061144
20020404,12.70,12.80,12.55,12.80,857323
20020405,12.95,13.25,12.90,13.20,1200743
20020408,13.20,13.50,13.00,13.00,1115653
20020409,13.25,13.60,13.20,13.55,773601
20020410,13.40,13.75,13.40,13.55,936054
20020411,13.70,13.75,12.85,12.85,3122470
20020412,12.90,13.00,12.50,12.75,1730477
20020415,12.55,12.95,12.40,12.95,964745
20020416,13.10,13.35,13.05,13.15,1448245
20020417,13.25,13.30,12.55,12.80,2660328
20020418,12.65,12.80,12.55,12.65,2151525
20020419,12.60,12.70,12.35,12.40,1533712
20020422,12.30,12.50,12.15,12.50,926292
20020423,12.55,12.95,12.50,12.80,1022213
20020424,12.80,12.90,12.65,12.80,656329
20020425,12.70,13.20,12.60,13.20,1371290
20020426,13.20,13.80,13.20,13.70,1553638
20020429,13.55,13.90,13.55,13.90,690525
20020430,13.75,13.90,13.15,13.40,1272186
20020502,13.00,13.10,12.70,12.80,2567139
20020506,12.75,12.80,12.60,12.80,603433
20020507,12.80,13.00,12.50,12.75,1433559
20020508,12.85,13.05,12.75,13.00,768265
20020509,13.25,13.25,12.80,12.85,755979
20020510,12.85,13.00,12.75,12.80,502031
20020513,12.80,12.95,12.70,12.90,562239
20020514,12.90,13.15,12.90,13.10,759484
20020515,13.00,13.25,12.90,13.25,517315
20020516,13.15,14.50,13.15,14.50,3361456
20020517,15.00,15.45,14.80,14.90,5340853
20020520,14.60,15.00,14.55,14.55,1232164
20020521,14.40,15.05,14.15,14.90,1700668
20020522,14.70,14.85,14.55,14.55,994232
20020523,14.50,14.85,14.50,14.75,911629
20020524,14.75,14.85,13.90,13.95,3039088
20020527,13.85,14.30,13.85,14.00,1219253
20020528,14.15,14.20,13.50,13.85,1676042
20020529,13.85,14.05,13.80,14.00,1709252
20020531,14.00,14.05,13.85,13.85,1112253
20020603,13.85,14.25,13.85,14.25,1105305
20020604,14.10,14.30,14.00,14.15,662491
20020605,14.10,14.30,14.10,14.10,1215653
20020606,14.15,14.25,13.90,14.00,1075228
20020607,13.70,13.85,13.50,13.80,1589068
20020610,13.75,13.85,13.70,13.80,196442
20020611,13.75,14.10,13.75,13.95,397528
20020612,13.85,14.10,13.80,13.95,494540
20020613,14.00,14.10,13.90,13.90,594294
20020614,13.80,13.95,13.60,13.70,1270811
20020617,13.85,13.90,13.60,13.65,473324
20020618,13.60,13.80,13.40,13.40,1189244
20020619,13.20,13.30,12.95,13.10,1297703
20020620,13.10,13.20,12.95,13.20,570323
20020621,12.95,13.35,12.90,13.35,789986
20020624,13.15,13.25,12.70,12.70,1003220
20020625,12.80,12.95,12.15,12.35,1813711
20020626,11.00,11.85,11.00,11.75,2139460
20020627,11.90,11.90,11.20,11.60,1754812
20020628,11.70,11.75,10.90,11.05,2990351
20020701,10.90,11.35,10.80,11.10,1531074
20020702,11.05,11.30,10.50,10.50,2772770
20020703,10.20,10.55,9.90,10.50,4341885
20020704,10.70,10.90,10.35,10.45,2260108
20020705,10.70,11.10,10.50,10.95,2483590
20020708,11.15,11.20,10.90,11.10,1318994
20020709,11.10,11.35,11.10,11.30,1067133
20020710,11.25,11.25,10.85,11.05,1806553
20020711,10.80,10.95,10.60,10.75,1275681
20020712,11.00,11.10,10.70,10.75,739949
20020715,10.75,10.80,10.50,10.60,657002
20020716,10.75,10.90,10.55,10.85,923343
20020717,11.10,11.80,11.10,11.70,2445777
20020718,11.75,11.95,11.25,11.35,2336652
20020719,11.05,11.30,10.95,11.20,1703539
20020722,10.90,11.00,10.60,10.70,1636487
20020723,11.00,11.10,10.60,10.90,2055906
20020724,10.80,10.80,10.35,10.35,2173372
20020725,10.75,10.80,10.10,10.20,1889964
20020726,10.30,10.90,10.20,10.75,2154531
20020729,10.75,11.30,10.75,11.15,1579152
20020730,11.35,11.45,10.90,11.15,1942776
20020731,11.15,11.65,11.15,11.35,1924362
20020801,11.55,11.80,11.55,11.60,1600410
20020802,11.50,11.60,11.35,11.45,964738
20020805,11.15,11.20,11.00,11.20,960876
20020806,11.00,11.40,10.90,11.40,961208
20020807,11.60,11.60,11.20,11.25,1466098
20020808,11.40,11.45,11.20,11.30,1216691
20020809,11.40,11.55,11.25,11.25,1265875
20020812,11.20,11.30,11.05,11.05,530067
20020813,11.35,11.70,11.25,11.70,1091603
20020814,11.65,11.80,11.45,11.70,1898220
20020816,11.90,12.10,11.80,12.00,1636591
20020819,12.05,12.35,11.95,12.05,1269489
20020820,12.20,12.35,11.80,11.90,1243381
20020821,11.90,12.85,11.85,12.65,2262470
20020822,13.00,13.15,12.55,12.60,2869550
20020823,12.50,13.00,12.50,12.75,1095880
20020826,12.70,12.95,12.65,12.90,247479
20020827,12.90,13.60,12.90,13.45,2290539
20020828,13.30,13.40,12.80,12.95,1873478
20020829,12.85,12.90,12.55,12.65,1339778
20020830,12.75,12.95,12.65,12.95,838529
20020902,12.80,12.90,12.70,12.80,484741
20020903,12.50,12.50,11.90,11.90,1902473
20020904,11.90,12.10,11.50,11.95,1712794
20020905,12.00,12.10,11.80,11.85,812755
20020906,12.00,12.20,11.85,12.05,1487642
20020909,12.00,12.10,11.95,12.05,549095
20020910,12.15,12.40,12.15,12.35,1164349
20020911,12.35,12.90,12.25,12.75,1093834
20020912,12.60,12.65,12.30,12.50,1239654
20020913,12.20,12.40,12.20,12.30,1603298
20020916,12.20,12.55,12.20,12.55,957741
20020917,12.90,13.10,12.70,12.70,2904329
20020918,12.45,12.60,12.35,12.50,1575999
20020919,12.45,12.75,12.30,12.45,1905315
20020920,12.65,12.70,12.40,12.45,1663483
20020923,12.55,12.55,12.15,12.30,1190159
20020924,12.15,12.15,11.65,11.85,1588886
20020925,11.75,12.20,11.75,12.10,822045
20020926,12.20,12.30,11.90,12.05,576442
20020927,12.00,12.05,11.85,12.05,646532
20020930,11.80,11.85,11.60,11.65,1195619
20021001,11.65,11.80,11.55,11.55,723125
20021002,11.80,11.80,11.55,11.55,437622
20021003,11.55,11.60,11.40,11.60,592214
20021004,11.60,11.80,11.45,11.55,1091598
20021007,11.35,11.35,11.15,11.30,1010474
20021008,11.40,11.45,11.25,11.25,1004547
20021009,11.30,11.50,11.25,11.45,1427673
20021010,11.65,11.90,11.40,11.85,1287801
20021011,12.10,12.35,12.05,12.25,1530875
20021014,12.15,12.30,11.95,12.20,684644
20021015,12.40,12.70,12.35,12.55,1962791
20021016,12.55,12.85,12.30,12.50,1910208
20021017,12.50,12.60,12.35,12.50,901462
20021018,12.55,12.85,12.50,12.85,2161380
20021021,12.75,13.10,12.65,12.75,1930786
20021022,12.80,12.95,12.75,12.80,1053022
20021023,12.85,12.95,12.65,12.85,766559
20021024,12.90,12.90,12.55,12.80,784182
20021025,12.70,12.75,12.55,12.70,673069
20021028,12.85,13.40,12.85,13.40,1899480
20021029,13.35,13.70,13.30,13.35,2111675
20021030,13.25,13.60,13.15,13.50,1667615
20021031,13.50,13.90,13.45,13.75,1197197
20021104,13.95,14.10,13.70,13.85,1005021
20021105,13.70,13.75,13.35,13.45,1182736
20021106,13.50,13.60,13.15,13.20,961959
20021107,13.15,13.30,13.10,13.10,1640811
20021108,13.20,13.30,13.10,13.25,427990
20021112,13.20,13.70,13.20,13.70,1176257
20021113,13.60,13.65,13.35,13.55,970550
20021114,13.60,13.90,12.95,13.15,2619693
20021115,13.25,13.40,13.05,13.15,1504662
20021118,13.20,13.30,13.05,13.10,888698
20021119,13.05,13.25,13.00,13.20,1054109
20021120,13.15,13.30,13.10,13.25,495542
20021121,13.45,13.75,13.40,13.70,1961052
20021122,13.85,13.90,13.60,13.75,1345342
20021125,13.75,14.50,13.75,14.50,2794597
20021126,14.30,14.60,13.95,14.00,2103997
20021127,14.00,14.35,13.85,14.20,1374474
20021128,14.30,14.40,14.05,14.10,544668
20021129,14.15,14.15,14.00,14.00,936377
20021202,14.00,14.70,14.00,14.55,1821604
20021203,14.40,14.65,14.40,14.55,1803564
20021204,14.35,14.65,14.10,14.20,1632066
20021205,14.30,14.65,14.25,14.50,2155198
20021206,14.50,14.50,14.10,14.20,1121773
20021209,14.15,14.30,14.10,14.20,598364
20021210,13.65,13.70,13.30,13.35,3978251
20021211,13.30,13.35,13.10,13.10,2364024
20021212,13.35,13.35,12.95,13.15,4149137
20021213,13.20,13.25,13.05,13.05,1224773
20021216,13.20,13.30,13.00,13.05,1838691
20021217,13.10,13.15,12.95,12.95,1088021
20021218,12.90,12.95,12.40,12.40,3579569
20021219,12.55,12.70,12.30,12.50,2452379
20021220,12.55,12.55,12.30,12.35,1398893
20021223,12.40,12.50,12.35,12.40,537349
20021227,12.55,13.05,12.50,12.85,1964103
20021230,13.00,13.10,12.75,12.80,740440
20021231,12.85,12.90,12.65,12.75,519219
20030102,12.85,12.85,12.60,12.75,468577
20030103,13.00,13.30,13.00,13.15,3332635
20030106,13.30,13.35,13.05,13.15,2101632
20030107,13.15,13.25,13.00,13.15,1281274
20030108,13.10,13.35,13.05,13.10,1197471
20030109,13.10,13.20,12.85,13.10,2038752
20030110,13.15,13.25,13.00,13.15,1569580
20030113,13.25,13.75,13.25,13.70,2748176
20030114,13.65,13.75,13.40,13.55,1884397
20030115,13.60,13.70,13.50,13.55,935972
20030116,13.40,13.45,13.20,13.25,1365013
20030117,13.05,13.15,12.85,13.05,871879
20030120,13.05,13.10,12.95,13.00,696632
20030121,13.05,13.15,12.75,12.90,1163596
20030122,12.85,12.95,12.65,12.70,2210704
20030123,12.80,13.00,12.65,12.90,1812651
20030124,12.80,12.95,12.60,12.60,1538505
20030127,12.40,12.50,12.20,12.35,1833190
20030128,12.35,12.80,12.35,12.70,965553
20030129,12.50,13.00,12.35,12.80,1660739
20030130,12.90,12.95,12.65,12.70,558202
20030131,12.50,12.75,12.50,12.70,571504
20030203,12.85,12.95,12.75,12.90,640606
20030204,12.80,12.80,12.55,12.60,656917
20030205,12.50,12.75,12.45,12.60,476456
20030206,12.45,12.60,12.15,12.20,2397732
20030207,12.10,12.40,12.00,12.30,903990
20030210,12.20,12.40,12.10,12.30,1057371
20030211,12.40,12.60,12.30,12.30,927792
20030212,12.25,12.25,12.15,12.15,414810
20030213,12.10,12.40,12.10,12.30,1188203
20030214,12.35,12.45,12.10,12.25,920369
20030217,12.55,12.60,12.35,12.40,1115211
20030218,12.40,12.45,12.15,12.25,1657600
20030219,12.15,12.20,11.80,11.85,1891650
20030220,11.90,12.05,11.85,12.00,493603
20030221,12.00,12.05,11.70,11.70,576539
20030224,11.70,11.80,11.60,11.75,434211
20030225,11.70,11.75,11.55,11.60,1796764
20030226,11.70,11.80,11.55,11.65,763224
20030227,11.70,11.75,11.60,11.70,341903
20030228,11.70,11.75,11.50,11.65,1755149
20030303,11.55,11.65,11.40,11.45,1751861
20030304,11.50,11.55,11.10,11.10,2588501
20030305,10.95,11.15,10.90,11.00,2785092
20030306,11.00,11.10,10.90,11.00,1364374
20030307,11.00,11.35,11.00,11.30,1446388
20030310,11.30,11.95,11.30,11.95,2281727
20030311,11.80,11.85,11.60,11.80,1093127
20030312,11.80,11.85,11.55,11.65,1285382
20030313,11.80,12.00,11.75,11.80,1980966
20030314,11.95,11.95,11.75,11.75,1221474
20030317,11.55,11.60,11.45,11.50,485245
20030318,11.75,11.90,11.65,11.65,1778934
20030319,11.70,11.85,11.60,11.65,708700
20030320,11.70,11.80,11.60,11.70,362748
20030321,11.85,11.90,11.75,11.85,1132981
20030324,11.85,11.90,11.75,11.80,356828
20030325,11.75,11.95,11.70,11.90,1007502
20030326,12.00,12.20,11.95,12.05,1504506
20030327,12.05,12.05,11.90,11.90,401141
20030328,11.95,11.95,11.80,11.90,459376
20030331,11.60,11.65,11.40,11.55,1533596
20030401,11.70,11.70,11.50,11.55,281354
20030402,11.75,11.75,11.60,11.65,515899
20030403,11.75,12.05,11.65,11.85,2607550
20030404,11.95,12.00,11.80,11.85,1535510
20030407,12.15,12.40,12.05,12.40,3286543
20030408,12.30,12.45,12.20,12.25,931785
20030409,12.25,12.40,12.10,12.25,1249521
20030410,12.20,12.25,11.90,12.00,2112025
20030411,12.05,12.20,11.95,12.15,676176
20030414,12.10,12.15,11.85,11.90,1244972
20030415,12.05,12.05,11.80,11.95,800176
20030416,12.00,12.10,11.90,11.90,801002
20030417,11.90,12.10,11.85,12.05,891214
20030422,12.00,12.20,12.00,12.10,672355
20030423,12.25,12.45,12.25,12.35,1143333
20030424,12.30,12.45,12.20,12.25,1064601
20030425,12.15,12.50,12.15,12.45,743537
20030428,12.40,12.75,12.35,12.65,1276295
20030429,12.75,13.00,12.70,13.00,3068712
20030430,12.90,12.95,12.60,12.85,1001941
20030502,12.80,13.05,12.80,13.00,852701
20030505,13.10,13.20,13.05,13.15,749944
20030506,13.05,13.20,12.90,13.15,1153997
20030507,13.10,13.10,12.80,12.85,2201582
20030508,12.80,12.90,12.65,12.70,670577
