<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20010102,86.00,87.80,85.00,86.40,15703
20010103,86.00,86.50,83.70,85.00,21728
20010104,87.50,88.40,86.40,87.50,75531
20010105,87.80,87.80,83.70,83.70,27642
20010108,84.00,84.00,80.00,80.40,79528
20010109,81.60,82.10,80.00,82.10,69720
20010110,82.00,82.00,78.50,79.00,57638
20010111,78.00,78.50,76.00,76.00,65340
20010112,77.50,78.50,76.80,77.60,77449
20010115,77.90,77.90,74.50,74.80,45683
20010116,74.30,74.30,71.00,71.20,148539
20010117,72.30,75.00,69.00,74.00,155627
20010118,74.00,77.00,73.20,75.30,118563
20010119,78.10,78.20,76.60,77.00,122777
20010122,77.00,77.50,74.70,75.60,107375
20010123,74.80,75.50,74.30,74.30,80320
20010124,76.50,76.50,74.30,74.30,71113
20010125,74.00,76.00,73.50,74.80,55918
20010126,73.00,73.80,72.80,73.20,53178
20010129,73.00,74.00,72.00,73.10,74878
20010130,73.50,74.80,73.30,73.60,77840
20010131,74.00,74.00,72.60,73.40,62961
20010201,73.00,74.40,73.00,74.20,115572
20010202,74.50,76.80,74.40,76.50,123850
20010205,75.20,75.40,72.70,72.90,81018
20010206,72.20,73.40,70.20,72.00,124830
20010207,70.90,71.50,68.50,68.50,159973
20010208,67.80,69.90,67.10,67.80,103582
20010209,67.50,67.80,64.80,64.80,183617
20010212,64.50,66.00,62.50,66.00,113474
20010213,66.50,68.60,65.10,68.60,83499
20010214,65.60,68.40,65.60,68.30,94317
20010215,69.50,70.70,68.60,70.70,104673
20010216,69.20,70.50,67.00,67.80,95938
20010219,67.90,68.50,64.90,66.30,54040
20010220,66.50,67.90,65.00,65.50,52947
20010221,63.90,65.10,63.10,65.00,162673
20010222,66.00,67.00,64.60,66.30,59350
20010223,67.50,68.40,64.70,66.10,115161
20010226,67.70,68.00,66.80,67.00,46804
20010227,66.50,67.00,62.60,62.70,83502
20010228,61.20,63.50,59.50,62.80,128711
20010301,59.10,61.00,57.60,58.50,177211
20010302,58.00,61.00,57.20,60.90,297450
20010305,61.50,64.00,61.00,64.00,136372
20010306,65.00,65.90,64.00,64.60,110113
20010307,63.90,65.00,62.80,64.00,69217
20010308,64.00,64.00,62.00,62.20,50497
20010309,61.50,62.00,59.50,60.00,95894
20010312,57.00,58.70,55.00,55.50,146775
20010313,53.50,58.00,53.50,57.30,154407
20010314,58.00,58.50,54.70,57.00,210428
20010315,57.50,58.50,56.60,57.80,176536
20010316,56.20,57.20,55.50,56.50,89583
20010319,56.50,57.30,55.70,55.70,60957
20010320,57.10,57.70,56.00,56.60,125840
20010321,55.50,56.60,54.50,55.00,93665
20010322,55.00,55.00,52.50,55.00,77402
20010323,56.30,56.90,54.50,55.70,229083
20010326,56.50,56.50,54.60,54.60,66019
20010327,53.70,54.20,52.40,53.60,64785
20010328,53.60,55.10,53.40,54.10,124027
20010329,52.60,54.00,52.60,53.90,28276
20010330,54.20,54.90,54.00,54.00,46023
20010402,54.00,54.00,53.20,53.60,20457
20010403,53.30,53.30,51.50,52.00,136558
20010404,50.50,51.40,50.40,51.00,72309
20010405,51.90,52.40,51.70,52.30,19426
20010406,53.00,54.60,52.50,54.60,72497
20010409,54.40,58.30,54.40,58.30,58529
20010410,58.50,62.20,58.50,61.00,123852
20010411,61.50,62.10,59.80,61.90,103102
20010412,60.90,62.30,60.50,61.90,70011
20010417,59.90,60.00,58.70,59.40,75094
20010418,60.50,64.20,60.50,64.20,83665
20010419,66.10,67.00,65.00,66.60,140171
20010420,66.00,68.50,65.20,65.70,109153
20010423,65.00,65.00,63.00,64.30,76635
20010424,64.90,65.00,63.00,64.30,154463
20010425,64.20,67.00,64.20,66.20,70345
20010426,67.00,68.80,67.00,67.60,85514
20010427,67.30,68.20,66.70,67.10,60992
20010430,67.20,67.20,64.20,65.10,17038
20010502,66.00,69.90,64.90,65.00,66987
20010504,65.00,65.00,63.50,64.00,25044
20010507,64.30,65.50,63.00,63.10,36288
20010508,62.50,62.50,60.90,61.20,54195
20010509,59.10,59.30,58.20,58.20,106643
20010510,58.00,60.30,58.00,60.00,95208
20010511,59.80,63.20,59.50,61.90,128700
20010514,60.90,62.00,60.90,61.70,24247
20010515,61.60,61.80,59.40,59.80,44335
20010516,58.50,59.00,58.50,58.60,61037
20010517,61.00,61.00,59.20,60.00,137044
20010518,59.90,60.20,59.00,60.10,30519
20010521,60.50,62.90,60.00,62.60,138121
20010522,64.00,65.20,63.40,64.90,147801
20010523,64.50,66.50,63.60,65.50,135020
20010524,65.00,66.00,64.30,65.50,47655
20010525,65.50,65.70,65.00,65.30,29219
20010528,64.00,64.80,64.00,64.30,10176
20010529,64.50,65.20,63.40,64.00,36026
20010530,63.50,64.00,63.20,64.00,50901
20010531,63.30,65.00,63.00,65.00,66528
20010601,65.00,65.20,64.20,64.90,26038
20010604,65.50,65.50,64.10,64.50,35166
20010605,63.70,64.50,63.70,64.00,33339
20010606,64.00,64.00,62.00,62.00,28053
20010607,60.50,61.00,59.70,60.50,83658
20010608,61.00,61.00,59.10,59.20,68660
20010611,58.30,59.30,57.10,57.90,44249
20010612,57.60,59.00,57.10,58.50,54448
20010613,61.00,61.00,59.30,59.60,43355
20010615,59.80,59.90,56.40,56.50,59080
20010618,55.50,57.30,53.00,54.10,78749
20010619,54.10,54.90,53.00,53.90,29844
20010620,53.70,54.50,52.90,52.90,23874
20010621,52.90,54.30,52.90,53.90,37403
20010622,54.60,55.20,53.00,53.50,66734
20010625,53.20,56.40,53.20,56.40,76906
20010626,55.30,55.90,54.60,55.00,41787
20010627,55.40,55.40,54.40,55.00,42087
20010628,54.60,54.80,54.00,54.30,42997
20010629,54.30,55.50,54.00,54.50,14745
20010702,54.50,54.70,53.70,54.10,25311
20010703,53.60,54.50,50.00,51.50,119753
20010704,50.20,51.80,49.00,50.00,44921
20010705,48.80,51.50,47.60,48.00,54765
20010706,48.50,50.90,47.90,49.90,157917
20010709,50.00,50.00,48.50,49.30,80684
20010710,49.00,49.00,47.30,48.10,44879
20010711,47.50,47.50,45.60,46.60,30324
20010712,47.30,49.50,46.90,47.20,192060
20010713,47.80,48.00,45.70,45.70,123677
20010716,46.30,47.50,46.10,47.30,48775
20010717,48.10,48.10,40.30,47.10,118890
20010718,46.90,46.90,46.20,46.50,21313
20010719,46.90,47.50,45.60,46.90,54574
20010720,46.10,47.40,44.70,45.00,52412
20010723,45.80,45.80,45.10,45.10,35765
20010724,45.50,45.60,44.00,44.40,29355
20010725,44.60,45.10,44.40,44.40,52690
20010726,44.60,46.40,44.60,46.10,44675
20010727,46.70,47.50,46.60,46.90,59868
20010730,47.30,48.80,46.80,47.90,47175
20010731,47.00,47.60,46.50,46.80,44978
20010801,46.80,47.80,45.80,47.10,75234
20010802,47.90,48.70,47.30,47.80,93181
20010803,47.00,47.80,47.00,47.80,12175
20010806,49.30,49.30,47.70,47.90,28026
20010807,47.70,47.70,46.70,46.70,25687
20010808,46.70,46.70,45.10,45.30,41768
20010809,44.60,45.90,44.50,45.30,89334
20010810,45.40,46.00,44.60,45.20,61866
20010813,45.80,45.80,43.90,44.10,53812
20010814,44.50,45.40,44.20,45.00,47614
20010816,44.70,44.80,44.10,44.30,34969
20010817,43.60,43.60,43.10,43.50,23531
20010820,43.10,44.00,43.10,43.70,25829
20010821,43.90,44.60,43.50,44.50,34741
20010822,44.20,45.70,44.20,45.30,31051
20010823,45.50,45.80,45.10,45.40,34705
20010824,45.20,45.90,45.00,45.70,9639
20010827,46.00,47.30,45.60,45.80,29184
20010828,45.20,45.90,45.00,45.10,18689
20010829,44.40,45.40,44.40,45.40,18328
20010830,46.00,46.00,45.20,45.70,18467
20010831,45.10,46.70,44.90,46.70,47617
20010903,46.80,47.80,46.00,46.70,37982
20010904,47.50,48.50,46.50,46.50,77211
20010905,46.90,47.60,46.50,47.40,56880
20010906,48.00,48.30,47.60,48.00,62702
20010907,47.50,48.50,47.20,48.50,51258
20010910,47.50,48.80,47.00,47.10,38665
20010911,47.60,47.80,45.50,45.50,36819
20010912,44.00,45.20,43.20,45.20,64664
20010913,44.60,46.00,44.60,45.50,43275
20010914,45.50,45.50,43.50,43.70,24532
20010917,42.40,43.00,42.10,42.40,65115
20010918,43.60,43.70,42.20,42.80,17778
20010919,43.10,43.70,42.60,43.10,25110
20010920,42.10,44.00,42.10,43.00,19836
20010921,42.80,42.80,41.20,41.90,37884
20010924,42.10,42.60,41.10,42.50,20212
20010925,42.00,44.00,42.00,43.40,19716
20010926,43.70,44.30,43.00,44.20,35476
20010927,44.00,44.40,43.20,43.40,23223
20010928,43.70,45.00,43.70,44.50,41116
20011001,44.60,45.00,44.50,44.50,41469
20011002,44.50,44.50,42.40,42.80,40939
20011003,42.70,42.70,40.40,41.00,97690
20011004,41.80,41.80,41.00,41.40,52894
20011005,41.30,41.30,39.20,39.60,71613
20011008,39.60,39.60,38.60,39.40,43861
20011009,39.50,42.20,39.50,42.10,124247
20011010,42.20,44.90,42.20,44.60,206786
20011011,45.00,48.50,45.00,47.30,348114
20011012,47.00,47.10,45.70,46.80,100745
20011015,46.50,46.50,45.60,45.80,41209
20011016,46.40,51.80,46.40,50.90,108842
20011017,52.30,54.80,48.60,50.00,216156
20011018,48.80,49.90,47.50,49.40,148773
20011019,49.00,50.10,47.30,48.30,139925
20011022,48.00,50.50,48.00,50.50,51516
20011023,51.70,52.50,50.00,50.10,75891
20011024,50.50,52.40,50.00,52.30,37437
20011025,54.60,55.40,53.50,54.80,139728
20011026,57.50,60.80,56.30,58.00,73565
20011029,59.00,59.50,57.40,57.40,139067
20011030,56.10,56.50,53.80,54.80,89846
20011031,55.00,55.80,54.00,55.30,53268
20011102,56.00,57.00,55.20,55.30,28917
20011105,55.20,55.50,53.90,54.10,91080
20011106,54.90,55.10,52.80,53.00,26087
20011107,53.00,53.00,51.00,51.70,89035
20011108,52.50,53.30,51.80,53.30,71177
20011109,53.50,54.20,52.30,53.50,92160
20011112,53.90,54.70,51.60,53.10,37992
20011113,53.90,55.00,53.10,55.00,56166
20011114,56.00,58.30,55.90,58.00,171966
20011115,58.50,58.60,56.50,57.00,44857
20011116,56.50,57.50,56.20,57.00,24430
20011119,58.00,58.70,56.90,58.10,110608
20011120,57.50,57.50,56.30,56.50,36211
20011121,55.80,57.20,55.50,55.70,82881
20011122,55.00,56.50,54.10,56.50,69765
20011123,57.00,57.00,55.80,55.90,26550
20011126,55.00,56.20,55.00,55.90,34431
20011127,55.20,56.20,55.00,55.80,33007
20011128,55.40,55.50,54.80,55.50,41665
20011129,55.00,55.30,54.70,54.80,32644
20011130,54.30,55.30,53.50,54.30,37462
20011203,53.00,54.10,53.00,54.10,117485
20011204,54.00,54.50,53.10,54.00,26518
20011205,55.80,55.80,53.00,54.00,53084
20011206,54.40,55.10,53.20,54.00,54478
20011207,53.50,54.40,53.00,54.30,13262
20011210,54.30,54.30,52.60,53.00,13111
20011211,52.10,52.80,51.80,52.00,34973
20011212,52.50,52.60,51.70,51.90,26044
20011213,52.80,52.80,50.00,50.00,39096
20011214,48.60,49.50,48.20,49.50,83086
20011217,49.40,49.90,49.00,49.00,19132
20011218,48.90,50.30,48.90,50.00,44259
20011219,49.90,50.50,48.90,50.00,74997
20011220,49.00,50.00,48.90,49.00,31794
20011221,48.80,50.10,48.50,50.00,28020
20011227,50.00,50.50,49.40,50.20,6307
20011228,50.00,51.00,49.30,51.00,12761
20011231,51.20,51.40,50.40,51.40,7979
20020102,51.00,52.00,50.00,52.00,27744
20020103,51.70,55.40,51.70,54.50,76335
20020104,55.10,59.20,55.10,58.00,185885
20020107,58.00,60.40,57.50,60.00,128107
20020108,59.00,62.00,58.70,61.00,93103
20020109,60.00,67.50,59.80,65.50,131821
20020110,65.20,67.00,62.50,63.00,89598
20020111,63.10,66.00,62.30,65.10,83567
20020114,63.30,64.50,61.30,62.00,81020
20020115,61.00,63.20,60.60,63.20,91370
20020116,62.60,64.00,62.20,63.80,120694
20020117,64.60,67.40,64.60,67.00,91607
20020118,67.00,67.20,65.00,65.50,71323
20020121,65.20,65.50,62.70,63.50,17128
20020122,63.10,67.00,63.10,66.00,77588
20020123,65.90,66.30,64.20,64.20,23057
20020124,64.30,66.50,64.30,64.60,20753
20020125,65.00,65.30,62.30,62.50,32988
20020128,63.00,63.30,60.30,61.00,81521
20020129,60.50,60.50,59.00,59.90,77626
20020130,59.50,59.70,57.70,59.20,103848
20020131,59.90,60.70,59.90,60.60,28440
20020201,61.00,61.50,59.20,59.80,22918
20020204,59.00,59.20,58.20,58.50,27450
