<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20010102,25.20,25.70,25.00,25.30,82033
20010103,25.20,25.60,24.00,24.40,422834
20010104,25.00,25.00,24.00,24.10,387699
20010105,23.80,24.00,22.40,22.70,1938194
20010108,22.50,22.70,21.50,22.00,1445135
20010109,22.20,22.50,21.00,22.50,1338734
20010110,22.30,22.40,21.70,21.90,492566
20010111,22.00,22.50,21.70,22.40,799497
20010112,22.60,22.80,22.30,22.60,699378
20010115,22.50,22.90,22.00,22.20,448718
20010116,22.00,22.60,21.90,22.30,397739
20010117,22.50,22.90,22.30,22.60,364253
20010118,22.60,23.60,22.60,23.20,1320892
20010119,24.00,24.60,23.80,24.40,1007243
20010122,24.60,24.60,23.60,23.80,405370
20010123,23.60,24.30,23.50,24.30,291743
20010124,24.50,24.60,24.10,24.10,158299
20010125,24.10,24.20,23.90,24.10,191566
20010126,23.90,24.70,23.90,24.70,511990
20010129,24.80,25.60,24.60,25.50,168283
20010130,25.80,26.00,25.50,25.50,329111
20010131,25.40,25.40,24.80,25.00,242049
20010201,24.80,24.90,24.40,24.60,323854
20010202,24.70,25.00,24.60,25.00,130227
20010205,24.90,25.00,24.20,24.60,808778
20010206,25.00,25.00,24.20,24.80,432068
20010207,24.90,24.90,24.10,24.20,341162
20010208,24.10,24.50,24.10,24.20,267348
20010209,24.30,24.50,24.20,24.20,113866
20010212,23.70,24.00,23.60,23.90,155447
20010213,23.90,24.50,23.90,24.30,187785
20010214,24.00,24.40,24.00,24.40,123923
20010215,24.50,24.70,24.20,24.60,373115
20010216,24.50,24.90,24.00,24.20,255651
20010219,24.00,24.30,23.90,24.10,186782
20010220,24.20,24.90,24.00,24.00,230327
20010221,24.00,24.00,23.30,24.00,326344
20010222,23.10,23.80,22.60,23.00,403291
20010223,23.10,23.70,23.00,23.00,210455
20010226,23.60,23.70,23.30,23.50,118650
20010227,23.20,23.60,22.80,23.00,192699
20010228,22.40,23.20,22.40,23.10,242049
20010301,22.90,22.90,22.00,22.00,259414
20010302,21.80,22.30,21.80,22.00,330813
20010305,22.10,22.40,21.80,22.30,127234
20010306,22.40,22.80,22.40,22.50,173538
20010307,22.10,22.50,21.90,22.30,254559
20010308,22.40,22.40,22.10,22.10,120092
20010309,22.10,22.10,20.40,20.40,209789
20010312,19.85,19.90,18.45,18.65,750168
20010313,18.40,19.35,18.40,19.15,452653
20010314,19.40,19.50,18.60,18.95,548697
20010315,19.10,19.60,19.10,19.40,282452
20010316,19.40,20.10,19.35,20.10,211224
20010319,20.10,21.00,20.10,20.80,108547
20010320,21.10,21.10,20.70,20.80,136944
20010321,20.60,20.80,19.90,20.20,360866
20010322,20.00,20.30,19.40,19.40,239396
20010323,20.10,20.10,19.50,19.75,154894
20010326,20.20,20.70,19.90,20.50,274195
20010327,20.50,20.90,20.10,20.70,136897
20010328,21.00,21.10,20.70,20.90,195801
20010329,20.20,20.80,20.20,20.60,158169
20010330,20.50,20.70,20.50,20.70,79382
20010402,20.40,20.70,20.10,20.40,291922
20010403,20.10,20.30,19.70,19.75,135796
20010404,19.40,19.75,19.30,19.70,97234
20010405,19.85,19.90,19.40,19.45,179352
20010406,19.50,19.50,19.05,19.35,271790
20010409,19.25,19.45,19.15,19.30,111324
20010410,19.30,19.95,19.25,19.40,244049
20010411,19.35,19.55,19.30,19.35,348824
20010412,19.40,19.40,19.15,19.20,152193
20010417,18.75,19.00,18.60,18.75,67747
20010418,19.00,19.45,18.95,19.40,362037
20010419,20.00,20.50,19.90,20.30,844445
20010420,20.10,21.00,19.90,20.70,1080047
20010423,20.00,20.50,19.95,20.10,485738
20010424,20.20,20.30,19.70,19.90,400114
20010425,19.80,20.00,19.65,19.95,309198
20010426,20.10,20.20,19.95,19.95,205004
20010427,20.00,20.40,19.85,20.30,356652
20010430,20.40,20.70,20.20,20.20,165675
20010502,20.30,20.90,20.30,20.60,273039
20010504,20.50,20.90,20.50,20.80,466186
20010507,20.80,21.50,20.70,21.00,229828
20010508,21.00,21.00,20.50,20.50,122029
20010509,20.30,20.50,20.10,20.50,149268
20010510,20.40,21.30,20.40,21.10,391058
20010511,21.00,21.90,21.00,21.60,696202
20010514,21.40,22.40,21.40,22.40,273676
20010515,22.20,22.40,21.70,21.70,212042
20010516,21.30,21.60,21.10,21.40,192584
20010517,22.20,22.20,21.50,21.60,369988
20010518,21.30,21.80,21.30,21.60,204127
20010521,21.60,22.80,21.60,22.80,391767
20010522,22.90,23.30,22.90,23.00,277619
20010523,22.80,23.10,22.70,22.80,356496
20010524,22.70,22.70,21.90,22.50,318875
20010525,22.40,22.50,22.30,22.50,126730
20010528,22.20,23.00,22.20,23.00,132891
20010529,23.20,23.30,22.90,23.30,236325
20010530,23.00,23.00,22.40,22.40,244225
20010531,22.00,22.80,22.00,22.70,304352
20010601,22.70,22.70,22.20,22.30,270223
20010604,22.20,22.30,21.40,21.50,93926
20010605,21.30,22.00,21.30,22.00,241737
20010606,21.90,21.90,20.70,20.80,446744
20010607,20.40,20.50,19.80,19.95,392163
20010608,20.00,20.50,19.55,19.65,206634
20010611,19.30,19.65,19.15,19.40,240110
20010612,19.30,19.80,18.90,19.10,465963
20010613,19.75,19.75,18.95,19.20,275285
20010615,18.90,18.95,18.20,18.35,452368
20010618,18.30,18.55,18.10,18.40,506662
20010619,18.50,18.50,17.55,18.00,336674
20010620,17.50,17.80,17.25,17.30,246873
20010621,17.30,17.90,17.30,17.90,158074
20010622,18.00,18.15,17.70,17.80,87581
20010625,17.60,18.05,17.60,17.95,261312
20010626,18.00,18.00,17.35,17.35,172903
20010627,17.70,17.70,17.10,17.10,184327
20010628,17.00,17.20,16.70,17.00,78023
20010629,17.25,17.40,16.70,16.75,79797
20010702,16.60,16.85,16.30,16.50,72254
20010703,16.50,16.60,16.25,16.35,147434
20010704,16.40,16.75,16.35,16.50,378153
20010705,16.55,17.15,16.50,17.05,230584
20010706,17.10,18.20,17.10,18.20,637014
20010709,18.30,18.45,17.20,18.25,548766
20010710,18.15,18.15,17.55,17.65,262098
20010711,17.50,18.10,17.00,17.75,336128
20010712,18.20,18.50,18.05,18.40,336219
20010713,18.50,18.50,18.10,18.20,467625
20010716,17.75,17.85,17.55,17.75,184774
20010717,17.65,17.65,17.35,17.40,228647
20010718,17.50,17.70,17.25,17.70,184030
20010719,17.70,17.70,17.15,17.20,291158
20010720,17.25,17.25,15.95,16.10,224768
20010723,15.90,16.25,15.80,15.85,126876
20010724,16.15,16.15,15.80,15.90,89092
20010725,16.25,16.25,15.90,15.95,100550
20010726,16.10,16.65,16.10,16.50,79888
20010727,16.55,17.30,16.55,17.15,65070
20010730,17.30,17.30,16.85,17.20,145096
20010731,17.05,17.05,16.90,16.90,105686
20010801,16.80,16.95,16.45,16.55,151179
20010802,16.80,16.85,16.60,16.65,140088
20010803,16.55,16.90,16.40,16.45,80539
20010806,16.50,16.70,16.30,16.35,204566
20010807,16.20,16.30,16.15,16.25,66710
20010808,16.10,16.30,16.05,16.05,48604
20010809,16.05,16.05,15.00,15.30,155095
20010810,15.40,15.50,14.60,14.75,142299
20010813,14.80,14.80,13.55,13.60,229298
20010814,13.60,13.80,13.55,13.65,183870
20010816,13.60,13.70,12.75,12.95,350883
20010817,12.40,13.15,12.40,13.15,259798
20010820,13.40,14.00,13.35,13.65,322690
20010821,13.85,14.05,13.70,14.00,294592
20010822,14.00,14.50,14.00,14.30,185981
20010823,14.40,14.60,14.15,14.50,301585
20010824,14.55,15.15,14.35,15.15,252311
20010827,15.90,15.90,14.70,15.00,164891
20010828,14.70,15.00,14.70,14.85,135345
20010829,14.85,14.90,14.50,14.60,104115
20010830,14.65,15.05,14.65,14.95,147282
20010831,15.00,15.65,15.00,15.60,196270
20010903,15.40,16.40,15.40,15.85,297859
20010904,15.95,16.00,14.85,15.05,152742
20010905,15.00,15.45,14.90,15.25,212344
20010906,15.30,15.75,15.30,15.65,356325
20010907,15.55,15.55,14.85,14.95,235536
20010910,14.85,14.90,14.50,14.65,166561
20010911,14.85,14.85,13.95,14.00,366927
20010912,13.65,14.25,13.65,14.15,160952
20010913,14.25,14.30,14.10,14.15,90886
20010914,14.35,14.35,13.25,13.30,123584
20010917,12.75,13.10,12.60,12.95,441390
20010918,13.05,13.05,12.55,12.65,271458
20010919,12.85,13.10,12.70,12.90,184300
20010920,12.75,12.75,12.15,12.25,271188
20010921,11.85,11.85,10.45,10.70,682023
20010924,11.20,11.30,9.95,10.65,488499
20010925,10.75,11.15,10.35,11.00,259288
20010926,11.05,11.30,10.95,10.95,671710
20010927,10.85,11.05,10.45,10.60,905621
20010928,10.70,10.85,10.25,10.60,390944
20011001,10.45,10.55,9.85,10.20,389622
20011002,10.25,10.40,9.95,10.30,505627
20011003,10.35,10.35,9.95,10.00,538382
20011004,10.40,10.45,10.30,10.35,555127
20011005,10.20,10.40,10.20,10.30,225247
20011008,10.15,10.25,10.00,10.15,348819
20011009,10.35,10.75,10.35,10.65,605117
20011010,10.65,11.45,10.55,11.30,1841604
20011011,11.65,11.90,10.75,11.10,2631377
20011012,10.90,10.90,10.45,10.70,1199612
20011015,10.40,10.40,9.95,10.20,952293
20011016,10.50,10.85,10.40,10.65,1141613
20011017,11.25,11.30,10.70,11.00,1745791
20011018,10.75,11.10,10.60,11.00,490054
20011019,11.00,11.20,10.90,10.95,873707
20011022,11.10,11.60,11.10,11.45,1018618
20011023,11.65,11.75,11.25,11.30,684446
20011024,11.25,11.60,11.25,11.60,494887
20011025,11.75,12.00,11.35,11.35,868383
20011026,11.65,12.95,11.65,12.50,1922755
20011029,12.70,12.85,12.10,12.60,2570926
20011030,12.25,12.70,11.75,11.75,1603415
20011031,12.00,12.00,11.45,11.70,828951
20011102,12.10,12.20,11.80,12.00,882132
20011105,12.10,12.10,11.80,11.95,281880
20011106,12.10,12.15,11.90,11.95,283785
20011107,11.90,12.40,11.75,12.20,333921
20011108,12.30,12.80,12.05,12.80,572575
20011109,12.80,13.50,12.75,13.20,1283127
20011112,13.45,13.70,13.20,13.40,1129356
20011113,13.80,14.60,13.75,14.60,927800
20011114,15.05,15.35,14.85,15.10,1461825
20011115,15.35,15.35,14.75,14.80,1247722
20011116,14.80,15.00,14.55,14.65,615820
20011119,14.80,15.10,14.55,14.80,593176
20011120,14.90,15.05,14.65,14.90,599119
20011121,14.80,14.85,14.30,14.30,762192
20011122,14.15,14.50,13.50,14.50,847798
20011123,14.60,14.60,14.20,14.40,324340
20011126,14.50,14.55,14.30,14.45,268622
20011127,14.50,15.20,14.50,14.80,693619
20011128,15.00,15.00,14.50,14.70,366650
20011129,14.65,14.85,14.45,14.45,214533
20011130,14.55,14.75,14.00,14.05,406769
20011203,13.95,14.45,13.80,14.40,249863
20011204,14.35,14.60,14.35,14.60,196623
20011205,14.75,14.90,14.50,14.80,555062
20011206,15.10,15.25,14.75,14.80,517089
20011207,14.75,15.00,14.55,14.80,242750
20011210,14.65,14.75,14.45,14.50,303729
20011211,14.35,14.50,14.10,14.45,487752
20011212,14.50,14.50,14.35,14.50,121677
20011213,14.35,14.35,13.55,13.55,650185
20011214,13.25,13.60,13.10,13.50,265474
20011217,13.45,13.85,13.45,13.65,186179
20011218,13.60,14.10,13.20,14.05,802187
20011219,14.10,14.10,13.75,13.90,338671
20011220,13.70,13.70,13.25,13.25,369265
20011221,12.95,12.95,12.60,12.70,897439
20011227,12.90,12.90,12.60,12.70,87272
20011228,12.85,12.90,12.70,12.90,273799
20011231,13.05,13.15,12.95,13.00,144775
20020102,13.05,13.20,12.85,13.15,251271
20020103,13.25,14.30,13.25,14.30,948189
20020104,14.55,14.95,14.45,14.50,1389756
20020107,14.50,14.95,14.35,14.60,322405
20020108,14.60,14.80,14.15,14.50,330737
20020109,14.45,16.00,14.45,15.90,1045091
20020110,15.80,17.20,15.20,15.25,1481028
20020111,15.75,16.40,15.20,16.10,1012784
20020114,15.70,15.95,15.50,15.70,356942
20020115,15.45,16.10,15.45,15.85,578229
20020116,15.90,16.10,15.80,16.00,736410
20020117,16.30,16.75,16.20,16.70,555783
20020118,16.75,16.90,16.50,16.80,560133
20020121,16.80,16.90,16.45,16.80,139169
20020122,16.80,17.40,16.60,17.40,832203
20020123,17.45,17.45,16.90,17.00,365571
20020124,17.05,17.25,16.85,16.90,206418
20020125,16.90,17.20,16.35,16.55,340618
20020128,16.85,16.85,16.15,16.15,486073
20020129,16.00,16.25,16.00,16.20,395627
20020130,15.95,16.15,15.65,15.95,277258
20020131,16.15,16.25,15.90,16.20,219616
20020201,16.60,16.90,16.40,16.50,447372
20020204,16.10,16.75,16.10,16.75,256795
20020205,16.40,16.70,16.30,16.30,316282
20020206,16.35,16.65,16.15,16.45,422461
20020207,16.20,16.30,15.70,15.95,283709
20020208,15.70,16.05,15.55,15.65,387132
20020211,15.95,15.95,15.40,15.55,133093
20020212,15.60,15.75,15.20,15.20,103152
20020213,15.10,15.25,14.90,15.25,253691
20020214,15.40,15.65,15.20,15.35,357230
20020215,15.25,15.85,15.25,15.70,486681
20020218,15.70,15.85,15.60,15.65,136033
20020219,15.55,15.55,15.30,15.50,275650
20020220,15.40,15.50,15.20,15.50,195641
20020221,15.65,15.70,15.15,15.25,292442
20020222,15.15,15.35,15.05,15.10,302748
20020225,15.05,15.15,14.95,15.10,514632
20020226,15.40,15.40,15.15,15.15,831139
20020227,15.25,15.60,15.20,15.35,727964
20020228,15.40,15.40,14.95,15.00,398973
20020301,14.85,15.00,14.75,14.90,171315
20020304,15.20,15.25,15.15,15.20,496708
20020305,15.25,15.40,14.75,14.95,582764
20020306,14.90,14.95,14.20,14.35,509553
20020307,14.35,14.40,13.50,13.90,1185569
20020308,14.00,14.15,13.90,13.90,741903
20020311,14.05,14.15,13.85,14.05,534799
20020312,14.05,14.20,13.85,13.95,517958
20020313,14.00,14.15,13.90,14.15,413694
20020314,14.25,14.35,14.10,14.15,179092
20020315,14.10,14.20,13.95,14.05,91486
20020318,14.10,14.10,13.85,14.00,155320
20020319,14.00,14.15,13.80,14.05,404559
20020320,13.95,14.45,13.95,14.45,244309
20020321,14.50,14.55,14.25,14.35,266517
20020322,14.40,14.75,14.35,14.65,653134
20020325,14.70,14.70,14.40,14.50,200692
20020326,14.40,14.45,14.20,14.40,187856
20020327,14.45,14.80,14.45,14.65,297189
20020328,14.75,14.90,14.75,14.75,193431
20020402,14.90,14.95,14.70,14.70,170416
20020403,14.65,14.80,14.65,14.75,444642
20020404,14.80,14.85,14.25,14.25,956043
20020405,14.15,14.35,13.90,14.35,451596
20020408,14.35,14.35,13.65,13.80,615305
20020409,14.00,14.10,13.85,14.10,439683
20020410,14.15,14.30,14.00,14.20,406532
20020411,14.20,14.20,13.65,13.80,640536
20020412,13.90,13.90,13.30,13.40,454869
20020415,13.30,13.50,13.20,13.40,221933
20020416,13.40,13.60,13.30,13.50,277234
20020417,13.65,13.65,13.15,13.15,199012
20020418,13.25,13.30,12.45,12.70,543118
20020419,12.60,12.65,12.20,12.35,481369
20020422,12.40,12.75,12.40,12.65,332410
20020423,12.80,12.90,12.65,12.70,172374
20020424,12.70,12.80,12.70,12.70,113991
20020425,12.65,13.20,12.50,13.20,292653
20020426,13.20,13.75,13.15,13.55,1443374
20020429,13.65,13.65,13.20,13.40,129056
20020430,13.50,13.50,12.95,12.95,156367
20020502,12.85,13.15,12.75,13.00,172849
20020506,13.00,13.10,12.85,13.00,114874
20020507,13.00,13.20,12.85,12.90,343700
20020508,13.00,13.25,12.90,13.15,411560
20020509,13.25,13.35,13.10,13.15,489459
20020510,13.20,13.25,13.05,13.20,163315
20020513,12.95,12.95,12.60,12.60,261643
20020514,11.80,12.60,11.60,12.30,496173
20020515,12.30,12.45,12.20,12.40,100332
20020516,12.35,13.35,12.35,13.35,414274
20020517,13.95,13.95,13.60,13.60,1403715
20020520,13.80,13.80,13.50,13.50,97717
20020521,13.35,14.10,13.35,14.00,367142
20020522,13.90,13.95,13.80,13.85,272250
20020523,13.65,13.85,13.65,13.70,137698
20020524,13.90,14.00,13.70,14.00,189871
20020527,13.85,14.20,13.80,13.80,126255
20020528,13.85,14.30,13.85,14.05,461387
20020529,14.15,14.20,14.10,14.20,205039
20020531,14.20,14.30,13.90,14.15,489673
20020603,14.05,14.30,14.05,14.20,128798
20020604,14.20,14.25,13.70,13.75,183884
20020605,13.80,14.10,13.75,14.10,108887
20020606,14.10,14.75,14.10,14.50,674857
20020607,14.30,14.60,14.20,14.50,182979
20020610,14.55,14.60,14.35,14.45,320044
20020611,14.55,14.70,14.45,14.55,579573
20020612,14.55,14.85,14.45,14.80,473049
20020613,14.80,15.20,14.80,15.05,242905
20020614,15.00,15.10,14.50,14.50,281414
20020617,14.65,14.70,14.40,14.50,97931
20020618,14.50,14.80,14.40,14.40,187451
20020619,14.15,14.40,14.00,14.05,334348
20020620,14.00,14.10,13.90,13.90,196804
