<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20020621,13.75,14.40,13.70,14.30,281989
20020624,14.30,14.40,13.90,13.95,146621
20020625,14.00,14.15,13.80,14.00,236102
20020626,13.55,13.70,13.35,13.50,589227
20020627,13.60,13.75,13.60,13.70,364179
20020628,13.70,13.80,13.20,13.20,283800
20020701,13.10,13.55,13.10,13.35,128398
20020702,13.20,13.35,12.90,12.90,505627
20020703,12.60,13.10,12.50,13.00,388718
20020704,13.40,13.55,13.10,13.25,184293
20020705,13.45,13.75,13.30,13.65,402234
20020708,13.85,13.95,13.65,13.80,179846
20020709,14.05,14.40,14.00,14.35,176166
20020710,14.40,14.55,13.85,14.05,251691
20020711,13.90,13.90,13.65,13.80,294337
20020712,14.00,14.10,13.90,13.90,146140
20020715,13.70,13.90,13.70,13.80,124402
20020716,13.90,14.15,13.50,13.75,259572
20020717,13.80,14.00,13.35,13.60,529552
20020718,13.50,13.50,12.65,12.75,1159324
20020719,12.50,12.50,11.70,12.00,951841
20020722,11.80,11.80,11.10,11.20,1292566
20020723,11.40,11.50,10.70,11.50,315212
20020724,11.30,11.55,10.90,11.30,343301
20020725,11.65,11.90,11.30,11.35,608891
20020726,11.45,11.70,11.00,11.70,282878
20020729,11.70,11.85,11.40,11.60,191511
20020730,11.65,11.65,10.65,11.00,646044
20020731,11.00,11.60,11.00,11.20,435582
20020801,11.25,11.45,11.15,11.15,183612
20020802,11.10,11.30,11.05,11.25,219125
20020805,11.10,11.20,10.85,10.95,198253
20020806,10.90,11.00,10.80,10.95,355870
20020807,11.15,11.15,10.75,10.75,368439
20020808,10.90,11.00,10.85,10.90,131964
20020809,11.00,11.40,11.00,11.15,173107
20020812,11.15,11.30,11.10,11.25,100388
20020813,11.45,11.45,11.30,11.45,182716
20020814,11.35,11.35,11.15,11.20,95569
20020816,11.35,11.40,11.00,11.00,173303
20020819,11.10,11.20,10.90,10.90,66705
20020820,11.00,11.05,10.50,10.50,146397
20020821,10.50,10.85,10.40,10.75,1085191
20020822,11.10,11.30,10.90,10.95,1258552
20020823,11.00,11.15,10.90,10.95,432815
20020826,11.00,11.15,10.80,10.95,260567
20020827,11.00,11.70,11.00,11.40,1070769
20020828,11.30,11.45,10.85,10.85,971041
20020829,10.80,11.25,10.70,10.80,703599
20020830,10.95,11.05,10.85,11.00,214651
20020902,11.05,11.15,10.95,11.00,164184
20020903,10.80,10.80,10.55,10.60,496557
20020904,10.60,10.90,10.45,10.75,529315
20020905,10.85,10.85,10.50,10.50,172547
20020906,10.65,10.70,10.45,10.60,250144
20020909,10.65,10.70,10.60,10.70,143243
20020910,10.80,11.30,10.80,11.30,595701
20020911,11.40,11.90,11.25,11.75,672322
20020912,11.55,11.65,11.30,11.40,387862
20020913,11.15,11.45,11.10,11.35,170546
20020916,11.30,11.70,11.30,11.65,222826
20020917,11.95,12.20,11.60,11.60,1288373
20020918,11.40,11.55,11.20,11.35,534313
20020919,11.40,11.60,11.25,11.35,271398
20020920,11.50,11.80,11.40,11.75,506496
20020923,11.85,11.85,11.45,11.50,97978
20020924,11.45,11.45,11.05,11.15,281237
20020925,11.15,11.75,11.10,11.60,590934
20020926,11.65,11.65,11.20,11.45,221590
20020927,11.45,11.60,11.25,11.55,196073
20020930,11.25,11.50,11.15,11.25,373663
20021001,11.25,11.40,10.85,10.90,431028
20021002,11.15,11.20,10.80,10.80,215017
20021003,10.90,10.90,10.65,10.90,316367
20021004,10.90,11.15,10.80,10.85,398260
20021007,10.75,10.75,10.50,10.55,304102
20021008,10.65,10.75,10.55,10.60,149738
20021009,10.70,10.80,10.60,10.65,540783
20021010,10.80,10.90,10.65,10.85,741643
20021011,11.10,11.30,11.10,11.15,1322768
20021014,11.15,11.30,11.05,11.30,387593
20021015,11.50,11.65,11.45,11.55,629056
20021016,11.50,11.70,11.15,11.15,457381
20021017,11.25,11.35,11.10,11.30,309371
20021018,11.40,11.70,11.35,11.70,991621
20021021,11.60,11.70,11.40,11.40,367005
20021022,11.50,11.60,11.35,11.55,258170
20021023,11.60,11.60,11.30,11.50,439727
20021024,11.50,11.55,11.40,11.50,330305
20021025,11.50,11.50,11.35,11.40,296276
20021028,11.55,12.00,11.50,12.00,742971
20021029,11.95,12.35,11.90,12.05,913798
20021030,12.05,12.20,11.90,12.00,709966
20021031,12.05,12.40,12.05,12.25,666473
20021104,12.50,12.70,12.40,12.50,306828
20021105,12.50,12.55,12.10,12.20,354388
20021106,12.25,12.35,12.05,12.05,397263
20021107,12.10,12.40,12.10,12.25,653158
20021108,12.25,12.35,12.20,12.35,346762
20021112,12.30,12.45,12.20,12.35,212998
20021113,12.25,12.40,12.10,12.40,273570
20021114,12.40,12.85,12.40,12.75,1143136
20021115,12.80,12.95,12.55,12.55,342114
20021118,12.55,12.70,12.50,12.50,82756
20021119,12.50,12.70,12.40,12.65,110031
20021120,12.70,12.75,12.55,12.65,112510
20021121,12.75,13.35,12.70,13.30,1052948
20021122,13.60,13.70,13.40,13.55,809381
20021125,13.60,14.25,13.40,14.25,907229
20021126,14.15,14.30,13.80,14.00,565059
20021127,13.85,14.40,13.80,14.20,535847
20021128,14.35,14.55,14.30,14.40,426922
20021129,14.50,14.50,14.05,14.10,495840
20021202,14.00,14.65,14.00,14.40,387170
20021203,14.35,14.60,14.30,14.50,598741
20021204,14.35,14.55,14.20,14.20,436031
20021205,14.25,14.40,14.25,14.25,239034
20021206,14.25,14.30,13.95,14.10,328894
20021209,14.05,14.15,13.85,14.00,211313
20021210,13.90,13.90,13.35,13.40,742753
20021211,13.50,13.70,13.10,13.20,191921
20021212,13.40,13.50,13.35,13.50,397491
20021213,13.45,13.80,13.35,13.65,237158
20021216,13.65,13.90,13.55,13.55,533423
20021217,13.85,13.85,13.65,13.65,605606
20021218,13.60,13.70,13.05,13.15,673799
20021219,13.15,13.30,12.85,13.10,705813
20021220,13.00,13.10,12.90,12.95,532450
20021223,13.05,13.40,13.05,13.40,212695
20021227,13.40,13.70,13.40,13.65,283938
20021230,13.65,13.75,13.50,13.55,37750
20021231,13.60,13.60,13.50,13.50,92570
20030102,13.55,13.60,13.30,13.50,116072
20030103,13.95,14.05,13.65,13.90,1242862
20030106,14.00,14.05,13.65,13.90,250918
20030107,13.95,14.05,13.80,14.00,588852
20030108,13.85,14.05,13.75,13.80,721767
20030109,13.75,13.85,13.65,13.85,402842
20030110,13.90,14.30,13.90,14.10,1024424
20030113,14.25,14.45,14.10,14.35,737846
20030114,14.30,14.40,14.10,14.15,406427
20030115,14.20,14.45,14.20,14.30,364301
20030116,14.25,14.25,13.85,14.20,497940
20030117,14.05,14.10,13.90,13.95,154401
20030120,14.00,14.05,13.90,13.95,109353
20030121,14.10,14.20,13.95,14.05,368014
20030122,14.00,14.05,13.90,14.00,373652
20030123,14.10,14.55,14.05,14.25,814393
20030124,14.25,14.40,13.85,13.85,491486
20030127,13.60,13.70,13.30,13.45,400117
20030128,13.30,13.50,13.20,13.30,335973
20030129,13.05,13.35,12.95,13.35,390133
20030130,13.40,13.40,13.25,13.25,77834
20030131,13.15,13.60,13.15,13.60,180685
20030203,13.60,13.85,13.55,13.85,388754
20030204,13.70,13.80,13.35,13.50,337734
20030205,13.30,13.55,13.30,13.45,112169
20030206,13.30,13.45,12.85,12.90,476063
20030207,12.80,12.90,12.55,12.70,324564
20030210,12.70,12.95,12.70,12.95,810298
20030211,13.00,13.15,12.85,13.00,245684
20030212,12.95,12.95,12.75,12.80,57803
20030213,12.75,13.10,12.70,13.10,533021
20030214,13.05,13.10,12.95,13.00,187814
20030217,13.35,13.35,13.20,13.25,333473
20030218,13.20,13.25,13.10,13.10,294407
20030219,13.05,13.15,12.55,12.90,558451
20030220,12.95,13.05,12.80,12.90,257452
20030221,12.95,13.15,12.85,13.00,174112
20030224,12.95,13.15,12.90,12.90,144082
20030225,12.85,12.90,12.30,12.30,442700
20030226,12.40,12.45,12.10,12.25,191862
20030227,12.35,12.50,12.30,12.50,95701
20030228,12.35,12.50,12.35,12.50,53087
20030303,12.45,12.55,12.40,12.50,77017
20030304,12.35,12.35,11.95,12.10,284593
20030305,11.90,12.05,11.50,11.60,481302
20030306,11.60,11.80,11.35,11.35,359854
20030307,11.45,11.65,11.35,11.60,278884
20030310,11.80,12.00,11.65,12.00,324753
20030311,11.95,12.00,11.60,11.80,513677
20030312,11.80,11.95,11.65,11.85,283357
20030313,11.90,12.40,11.90,12.30,626527
20030314,12.50,12.55,12.35,12.55,373437
20030317,12.40,12.45,12.15,12.40,461777
20030318,12.60,12.95,12.60,12.80,657446
20030319,12.70,13.00,12.70,12.85,242604
20030320,12.90,13.00,12.65,12.65,79908
20030321,12.90,13.10,12.80,13.10,344957
20030324,13.05,13.20,12.95,13.15,143163
20030325,13.00,13.10,12.85,13.00,880415
20030326,13.10,13.10,12.70,12.80,110677
20030327,12.80,12.80,12.40,12.45,195798
20030328,12.45,12.55,12.20,12.40,482310
20030331,12.20,12.20,11.95,12.10,279622
20030401,12.20,12.30,12.10,12.10,469524
20030402,12.35,12.40,12.20,12.25,246155
20030403,12.40,12.80,12.35,12.60,608346
20030404,12.60,12.85,12.55,12.75,1001511
20030407,13.00,13.20,13.00,13.10,407808
20030408,13.05,13.15,12.90,12.95,230594
20030409,12.95,12.95,12.60,12.80,430215
20030410,12.80,12.80,12.65,12.65,156534
20030411,12.70,12.80,12.60,12.70,124224
20030414,12.70,12.70,12.25,12.35,547711
20030415,12.45,12.55,12.30,12.40,207525
20030416,12.45,12.55,11.90,11.90,453287
20030417,11.90,12.00,11.70,11.90,462662
20030422,11.95,12.10,11.85,12.00,100229
20030423,12.15,12.20,11.85,12.00,215362
20030424,11.90,11.95,11.55,11.55,489718
20030425,11.65,11.70,11.35,11.40,350099
20030428,11.45,11.75,11.40,11.60,332516
20030429,11.75,11.80,11.40,11.60,542397
20030430,11.60,11.70,11.35,11.55,266948
20030502,11.60,11.80,11.50,11.80,295169
20030505,11.95,12.15,11.95,12.05,326439
20030506,12.10,12.35,12.00,12.25,553797
20030507,12.15,12.20,11.95,12.00,376390
20030508,12.05,12.30,11.85,12.00,823606
20030509,12.10,12.60,12.10,12.50,1005004
20030512,12.55,12.80,12.45,12.70,398768
20030513,12.60,12.80,12.55,12.70,284408
20030514,12.70,13.20,12.70,13.20,1338678
20030515,13.15,13.25,12.95,13.25,441308
20030516,13.20,13.35,13.15,13.20,141061
20030519,13.15,13.30,13.00,13.30,195287
20030520,13.15,13.40,12.70,12.70,778342
20030521,12.70,13.05,12.55,13.00,262877
20030522,13.00,13.30,13.00,13.20,381405
20030523,13.20,13.40,13.10,13.25,447350
20030526,13.10,13.25,13.05,13.05,229647
20030527,12.95,13.00,12.85,12.85,61907
20030528,13.10,13.40,13.05,13.40,607104
20030529,13.35,13.60,13.30,13.50,578055
